"Name_@footnote","Name_val","Cost_TotalCost_AllPriorYears_val","Cost_TotalCost_PriorYear_val","Cost_TotalCost_CurrentYear_val","Cost_TotalCost_BudgetYearOneBase_val","Cost_TotalCost_BudgetYearOne_val","Cost_TotalCost_ToComplete_val","Cost_TotalCost_Total_val","Cost_TotalCost_BudgetYearTwo_val","Cost_TotalCost_BudgetYearThree_val","Cost_TotalCost_BudgetYearFour_val","Cost_TotalCost_BudgetYearOneOCO_val","Cost_TotalCost_Continuing_val","Cost_TotalCost_BudgetYearFive_val","Cost_Quantity_BudgetYearOneBase_val","Cost_Quantity_BudgetYearOne_val","Cost_Quantity_PriorYear_val","Cost_Quantity_AllPriorYears_val","Cost_Quantity_CurrentYear_val","Cost_Quantity_BudgetYearTwo_val","Cost_Quantity_BudgetYearThree_val","Cost_Quantity_BudgetYearFour_val","Cost_Quantity_BudgetYearFive_val","Cost_Quantity_ToComplete_val","Cost_Quantity_Total_val","Cost_Quantity_BudgetYearOneOCO_val","Cost_UnitCost_BudgetYearOneBase_val","Cost_UnitCost_BudgetYearOne_val","Cost_UnitCost_PriorYear_val","Cost_UnitCost_AllPriorYears_val","Cost_UnitCost_CurrentYear_val","Cost_UnitCost_BudgetYearTwo_val","Cost_UnitCost_BudgetYearThree_val","Cost_UnitCost_BudgetYearFour_val","Cost_UnitCost_BudgetYearFive_val","Cost_UnitCost_ToComplete_val","Cost_UnitCost_Total_val","Cost_UnitCost_BudgetYearOneOCO_val","Cost_AllPriorYears_TotalCost_val","Cost_AllPriorYears_UnitCost_val","Cost_AllPriorYears_Quantity_val","Cost_PriorYear_TotalCost_val","Cost_PriorYear_UnitCost_val","Cost_PriorYear_Quantity_val","Cost_CurrentYear_TotalCost_val","Cost_CurrentYear_UnitCost_val","Cost_CurrentYear_Quantity_val","Cost_BudgetYearOneBase_TotalCost_val","Cost_BudgetYearOneBase_UnitCost_val","Cost_BudgetYearOneBase_Quantity_val","Cost_BudgetYearOneOCO_TotalCost_val","Cost_BudgetYearOne_TotalCost_val","Cost_BudgetYearOne_UnitCost_val","Cost_BudgetYearOne_Quantity_val","Cost_ToComplete_TotalCost_val","Cost_ToComplete_UnitCost_val","Cost_ToComplete_Quantity_val","Cost_Total_TotalCost_val","Cost_Total_UnitCost_val","Cost_Total_Quantity_val","Cost_BudgetYearTwo_TotalCost_val","Cost_BudgetYearTwo_UnitCost_val","Cost_BudgetYearTwo_Quantity_val","Cost_BudgetYearThree_TotalCost_val","Cost_BudgetYearThree_UnitCost_val","Cost_BudgetYearThree_Quantity_val","Cost_BudgetYearFour_TotalCost_val","Cost_BudgetYearFour_UnitCost_val","Cost_BudgetYearFour_Quantity_val","Cost_BudgetYearFive_TotalCost_val","Cost_BudgetYearFive_UnitCost_val","Cost_BudgetYearFive_Quantity_val","ManufacturerList_Manufacturer","AllPriorYearsDeliveries_val","IdCode_val","Remarks_val","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"Cost element 1.2.1 Non-Rec Cost FY2015 costs decreased $4.614M due to a Congressional reduction for production line shutdown funding ahead of need.  The actual Congressional reduction was for $20M, but only $4.614M of the FY 2015 Non-Recurring cost was budgeted for production line shutdown efforts.  The remaining reduction of $15.386M was taken from Pubs/Tech Data and ILS lines.","1.2.1) Non-Recur Cost","418.447","69.928","22.189","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","fb836cf9fb1059f9b9e962ba2833969a13ccc43b-0-e5ebd470544d188f48358ae70900e7b0353f9ea1","fb836cf9fb1059f9b9e962ba2833969a13ccc43b","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway","fb836cf9fb1059f9b9e962ba2833969a13ccc43b-0-be28c755715df74e27b3d250d1ed2bbc647df095"
"In the FY 2015 President's Budget, Cost element 1.2.2 Production Line Shutdown was budgeted under Non-recurring cost element 1.2.1.  The production line shutdown estimate methodology is based on a study performed by NAVAIR-4.2 (cost department).  Data was collected from the following programs:  A-6, B-1, C-2, EA-6, F-14, F-15, F/A-18C/D, H-53 and T-45.  In addition, the estimate incorporates a study of the F-22 line shutdown.  MH-60R shutdown funding provides for informed disposition of tooling, test equipment, and excess property;  procures tooling and test equipment data (part number, assembly, etc.) supporting disposition decision; develops algorithm / decision tree for disposition of tooling; and executes packaging, shipment / disposal of tooling.  MH-60R shutdown requirements include all common production efforts with MH-60S that will need to continue through final MH-60R deliveries; therefore, MH-60R is responsible for shutdown costs.","1.2.2) Production Line Shutdown","","","","22.715","22.715","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","fb836cf9fb1059f9b9e962ba2833969a13ccc43b-1-4609132772950f295ad0ddec30bff01206b1e446","fb836cf9fb1059f9b9e962ba2833969a13ccc43b","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway","fb836cf9fb1059f9b9e962ba2833969a13ccc43b-0-be28c755715df74e27b3d250d1ed2bbc647df095"
"In the FY 2015 President's Budget, Cost element 1.2.3 Acquisition Program Close-out was budgeted under Non-recurring cost element 1.2.1.  This funding will transition the MH-60R from a sole source original equipment manufacturer (OEM) to an organic and competitive procurement environment.  Specific activities include: engineering data access to establish a data sharing vehicle with Sikorsky that is required to execute NAVAIR Basic Design Engineering; provide ability to modify and build the MH-60R aircraft  software and test aircraft software in a laboratory environment prior to government flight test so aircraft is not tied to the OEM for life increasing costs for insertion of capability thereby reducing likelihood of funding; software product improvement;  Interactive Electronic Technical Manuals (IETM) file conversion to convert IETMs data from an OEM proprietary format to S1000D compliant version in support of last aircraft delivery, enable use of an open viewer  and organic IETMs updates, and eliminate reliance on the OEM for costly IETMs updates, cost avoidance of $34M over the life cycle of the aircraft; and a drawing Baseline Package to update ~10% of drawings ensuring baseline configuration management of data prior to line shutdown and take delivery of an updated Data Package that enables ISSC function (analysis, competitive component manufacture, system integration), reduces reliance on the OEM, enables government configuration management, and enables government as system integrator in sustainment.","1.2.3) Acquisition Program Closeout","","","","71.45","71.45","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","fb836cf9fb1059f9b9e962ba2833969a13ccc43b-2-6420d77228c79835365ba76b9bed5da727110f4e","fb836cf9fb1059f9b9e962ba2833969a13ccc43b","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway","fb836cf9fb1059f9b9e962ba2833969a13ccc43b-0-be28c755715df74e27b3d250d1ed2bbc647df095"
"Cost increase element 1.2.2 Ancillary Equipment cost increase from FY 2015 to FY 2016 is to procure final 20 Airborne Low Frequency Sonar (ALFS) units to meet program of record requirements.","1.2.4) Ancillary Eqpt","594.941","26.522","","96.339","96.339","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","fb836cf9fb1059f9b9e962ba2833969a13ccc43b-3-5b1069c4cc9f48c95caa04beeff59e09a6111fe2","fb836cf9fb1059f9b9e962ba2833969a13ccc43b","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway","fb836cf9fb1059f9b9e962ba2833969a13ccc43b-0-be28c755715df74e27b3d250d1ed2bbc647df095"
"","1.2.1) Non-Recur Cost","17.072","2.577","","2.227","2.227","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","fe06cd2a328b2e102169f5c186bf6b7ceb28fda7-0-5edea24046f817b52229c4bedaed60b331b1b2b0","fe06cd2a328b2e102169f5c186bf6b7ceb28fda7","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway","fe06cd2a328b2e102169f5c186bf6b7ceb28fda7-0-744837b962d824f9e2a60158243f45453b27e8d5"
"","1.2.2) Ancillary Equipment","98.695","19.298","8.583","13.413","13.413","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","fe06cd2a328b2e102169f5c186bf6b7ceb28fda7-1-00ac7884832002f2ad3407aba318fc14977ecaca","fe06cd2a328b2e102169f5c186bf6b7ceb28fda7","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway","fe06cd2a328b2e102169f5c186bf6b7ceb28fda7-0-744837b962d824f9e2a60158243f45453b27e8d5"
"","1.2.1) Ancillary Equipment","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.559","","","","3.559","","","","","","","","","","","","","","","","","","","","","","","","Ancillary Equipment includes Ground Control Station, Launcher Unit, Recovery Unit, GFE, and other associated equipment.","03301b26906fe0d72bf2732886d4a70067e421c8-0-d611a5843dd4218b8b56a90c01714d2f3101c3c6","03301b26906fe0d72bf2732886d4a70067e421c8","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway","03301b26906fe0d72bf2732886d4a70067e421c8-0-d238805dbbaf8cff192d5d7ea61cd66d8d9be4b4"
"","1.2.1) Ground Control Station","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.666","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","03301b26906fe0d72bf2732886d4a70067e421c8-0-d28bd73ceab20da358af08392238ae5dcc138bc6","03301b26906fe0d72bf2732886d4a70067e421c8","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway","03301b26906fe0d72bf2732886d4a70067e421c8-0-152193b781b524eb33cdbc10b994294e4bff87a2"
"","1.2.2) Launch and Recovery","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.863","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","03301b26906fe0d72bf2732886d4a70067e421c8-1-af77271f22a40ba956e54c4c20c4a7f736051e9f","03301b26906fe0d72bf2732886d4a70067e421c8","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway","03301b26906fe0d72bf2732886d4a70067e421c8-0-152193b781b524eb33cdbc10b994294e4bff87a2"
"","1.2.3) Associated Equipment","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.937","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","03301b26906fe0d72bf2732886d4a70067e421c8-2-703ba78c1735b4c49356c72a949c65e6f9420ef8","03301b26906fe0d72bf2732886d4a70067e421c8","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway","03301b26906fe0d72bf2732886d4a70067e421c8-0-152193b781b524eb33cdbc10b994294e4bff87a2"
"","Hardware NRE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000","","","0.000","","","2.718","","","0.000","2.718","","","","","","","","","","","","","","","","","","","","","","","","","06c993bed2cc6507cde8301ef937581e0973c880-0-095bc4d20e49cf1f3e1b7a8be8430854dd4dff19","06c993bed2cc6507cde8301ef937581e0973c880","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway","06c993bed2cc6507cde8301ef937581e0973c880-0-37c4b5187403d1f8e97db0e6c7cf025a6c18370b"
"","Recurring Manufacturing - Manpack","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000","","","0.000","","","287.314","62.609","4589","0.000","287.314","62.609","4589","","","","","","","","","","","","","","","","","","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList.CostElement.ManufacturerList-06c993bed2cc6507cde8301ef937581e0973c880-1-2fad6b15fd62fcafb4bb9f4848d9d111bc743e93","","","","06c993bed2cc6507cde8301ef937581e0973c880-1-c13dd1697da083b1daaf41bac832e95cb1cffb08","06c993bed2cc6507cde8301ef937581e0973c880","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway","06c993bed2cc6507cde8301ef937581e0973c880-0-37c4b5187403d1f8e97db0e6c7cf025a6c18370b"
"","Recurring Manufacturing - SFF-B","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000","","","0.000","","","14.164","29.819","475","0.000","14.164","29.819","475","","","","","","","","","","","","","","","","","","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList.CostElement.ManufacturerList-06c993bed2cc6507cde8301ef937581e0973c880-2-ee6b09464140ed47a4d43c5a7103e591f96b0336","","","","06c993bed2cc6507cde8301ef937581e0973c880-2-784c568171221ac3043cbfb357037552c4d308da","06c993bed2cc6507cde8301ef937581e0973c880","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway","06c993bed2cc6507cde8301ef937581e0973c880-0-37c4b5187403d1f8e97db0e6c7cf025a6c18370b"
"","Engineering Changes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000","","","0.000","","","30.421","","","0.000","30.421","","","","","","","","","","","","","","","","","","","","","","","","","06c993bed2cc6507cde8301ef937581e0973c880-3-298bc05156d78363f5cda306965b034f24799234","06c993bed2cc6507cde8301ef937581e0973c880","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway","06c993bed2cc6507cde8301ef937581e0973c880-0-37c4b5187403d1f8e97db0e6c7cf025a6c18370b"
"","Systems Engineering/ Management","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000","","","0.000","","","6.999","","","0.000","6.999","","","","","","","","","","","","","","","","","","","","","","","","","06c993bed2cc6507cde8301ef937581e0973c880-4-9d64cb4818166c6b1661f0d17a88d39f0955cde1","06c993bed2cc6507cde8301ef937581e0973c880","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway","06c993bed2cc6507cde8301ef937581e0973c880-0-37c4b5187403d1f8e97db0e6c7cf025a6c18370b"
"","Data","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000","","","0.000","","","1.718","","","0.000","1.718","","","","","","","","","","","","","","","","","","","","","","","","","06c993bed2cc6507cde8301ef937581e0973c880-5-9c8d7d3264d661b50243b8061a03f20ef3a15311","06c993bed2cc6507cde8301ef937581e0973c880","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway","06c993bed2cc6507cde8301ef937581e0973c880-0-37c4b5187403d1f8e97db0e6c7cf025a6c18370b"
"","Fielding","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000","","","0.000","","","33.765","","","0.000","33.765","","","","","","","","","","","","","","","","","","","","","","","","","06c993bed2cc6507cde8301ef937581e0973c880-6-4124ac4d73394544bf1fd462b18c393dd6592ea6","06c993bed2cc6507cde8301ef937581e0973c880","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway","06c993bed2cc6507cde8301ef937581e0973c880-0-37c4b5187403d1f8e97db0e6c7cf025a6c18370b"
"","Tech Refresh","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000","","","0.000","","","4.195","","","0.000","4.195","","","","","","","","","","","","","","","","","","","","","","","","","06c993bed2cc6507cde8301ef937581e0973c880-7-7839d58ef81355d90f8c122668d5cc277fa947c9","06c993bed2cc6507cde8301ef937581e0973c880","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway","06c993bed2cc6507cde8301ef937581e0973c880-0-37c4b5187403d1f8e97db0e6c7cf025a6c18370b"
"","Warranty","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000","","","0.000","","","29.395","","","0.000","29.395","","","","","","","","","","","","","","","","","","","","","","","","","06c993bed2cc6507cde8301ef937581e0973c880-8-d805401b5ec416b32f7561ec2eb2e356d33b4954","06c993bed2cc6507cde8301ef937581e0973c880","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway","06c993bed2cc6507cde8301ef937581e0973c880-0-37c4b5187403d1f8e97db0e6c7cf025a6c18370b"
"","SRW Applique","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000","","","0.000","","","30.8","","","0.000","30.8","","","","","","","","","","","","","","","","","","","","","","","","","06c993bed2cc6507cde8301ef937581e0973c880-9-3a0fb21a75578538133a0da5e4ae4541b9eb974f","06c993bed2cc6507cde8301ef937581e0973c880","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway","06c993bed2cc6507cde8301ef937581e0973c880-0-37c4b5187403d1f8e97db0e6c7cf025a6c18370b"
"","2.1.1) Special Tool & Test Equip (ST/STE) - Block II","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.078","","","1.02","","","0.405","","","","0.405","","","","","","","","","","","","","","","","","","","","","","","","","15862559356584d1584bc933805dd0dca8065d25-0-ef4e295a5c28e9116898f42adaccf669d2de525b","15862559356584d1584bc933805dd0dca8065d25","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway","15862559356584d1584bc933805dd0dca8065d25-1-5011d9b2e677d7f4e9811c05a1e46044b058c4f3"
"","2.1.2) Missile Containers - Block II","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.309","16263.16","19","0.319","16789.47","19","0.631","15035","42","","0.631","15035","42","","","","","","","","","","","","","","","","","","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList.CostElement.ManufacturerList-15862559356584d1584bc933805dd0dca8065d25-1-6a8627a6305e78fef8f3c734e333514252d88362","","","","15862559356584d1584bc933805dd0dca8065d25-1-158700eab73e9ad6140c47fd080d11d6b7ffcea7","15862559356584d1584bc933805dd0dca8065d25","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway","15862559356584d1584bc933805dd0dca8065d25-1-5011d9b2e677d7f4e9811c05a1e46044b058c4f3"
"","2.1.3) Nonrecurring Engineering - Block II","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.118","","","5.068","","","4.404","","","0.389","","","","0.389","","","","","","","","","","","","","","","","","","","","","","","","","15862559356584d1584bc933805dd0dca8065d25-2-263d5265f5908f61a47a08c22bd06a4bad52e696","15862559356584d1584bc933805dd0dca8065d25","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway","15862559356584d1584bc933805dd0dca8065d25-1-5011d9b2e677d7f4e9811c05a1e46044b058c4f3"
"","2.1.1) Special Tool & Test Equip (ST/STE) Block I","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.002","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15862559356584d1584bc933805dd0dca8065d25-0-2724da9ce17b6d283fb8ed4ea748f2f94853363e","15862559356584d1584bc933805dd0dca8065d25","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway","15862559356584d1584bc933805dd0dca8065d25-1-33e8c3110b1eefa85fe1068643b5ffec4c1a7f50"
"","2.1.2) Missile Containers - Block I","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.284","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList.CostElement.ManufacturerList-15862559356584d1584bc933805dd0dca8065d25-1-4cc80f924b70c4ab90cf53481588ce87029098f4","","","","15862559356584d1584bc933805dd0dca8065d25-1-281ff679f706dc9087389387de3db6c213a2a4be","15862559356584d1584bc933805dd0dca8065d25","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway","15862559356584d1584bc933805dd0dca8065d25-1-33e8c3110b1eefa85fe1068643b5ffec4c1a7f50"
"","2.1.3) NonRecurring Engineering - Block I","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16.061","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15862559356584d1584bc933805dd0dca8065d25-2-8119de7538093b93e9cfe03ff17e8b2a781031b2","15862559356584d1584bc933805dd0dca8065d25","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway","15862559356584d1584bc933805dd0dca8065d25-1-33e8c3110b1eefa85fe1068643b5ffec4c1a7f50"
"","GEO 3-4 Obsolescence Non-Recurring","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","538.42","","","138.295","","","9.333","","","0.000","","","0.000","0.000","","","0.000","","","750.482","","","28.585","","","32.466","","","3.383","","","0.000","","","","","A","","192b4b3f7226b86d04e778ec6bbdba7b5efc9151-0-b062cfde2e9c02d57a2906095c4fbd6e8b19cbc2","192b4b3f7226b86d04e778ec6bbdba7b5efc9151","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway","192b4b3f7226b86d04e778ec6bbdba7b5efc9151-0-cbf4365e25af0ce29f7bbd6fd233ec7ce42b6c15"
"","GEO 3-4 Systems Engineering & Integration (SE&I)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.963","","","6.872","","","0.000","","","6.434","","","0.000","6.434","","","0.000","","","32.36","","","4.17","","","3.748","","","1.173","","","0.000","","","","","A","","192b4b3f7226b86d04e778ec6bbdba7b5efc9151-1-20de7080de5237a1ff2c790727326b1bd2a36ba3","192b4b3f7226b86d04e778ec6bbdba7b5efc9151","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway","192b4b3f7226b86d04e778ec6bbdba7b5efc9151-0-cbf4365e25af0ce29f7bbd6fd233ec7ce42b6c15"
